ticket,summary,owner,component,milestone,status,version,created,priority,cc
14661,invalid test ticket,,General,tbd,new,1.7.1,2012-01-22T12:09:41-08:00,undecided,
14669,swap in dojox.mobile.SwapView does not trigger dojo/event,,General,tbd,new,1.7.1,2012-01-24T08:35:13-08:00,undecided,
14674,dojox/mobile/app/_event.js does not replace dojo.connect correctly,,General,tbd,new,1.7.1,2012-01-25T05:35:01-08:00,undecided,
14699,BorderContainer: dragging vertical splitter between two panes causes <object> based graphics to diplay double images,,Dijit,tbd,new,1.6.1,2012-01-30T14:27:53-08:00,undecided,
14120,An Error of ExpandoPane,,DojoX Layout,tbd,new,1.6.1,2011-10-19T00:33:01-07:00,blocker,
4284,Tooltips: hideDelay not supported any longer?,,Dijit,future,new,0.9,2007-08-24T08:37:33-07:00,high,
4300,"Tree: dijit._TreeNode does not call ""_afterExpand"" and ""_afterCollapse"" methods",,Dijit,future,reopened,0.9,2007-08-26T23:18:11-07:00,high,lukelalo@…
6613,dojox.layout.ContentPane adjustHtmlPath does not work when you have href and style on the same tag.,,DojoX Layout,future,new,1.0,2008-04-25T17:01:04-07:00,high,
6920,Form element states not getting saved after submitting in FF,,Dijit,2.0,new,1.1.1,2008-06-09T14:59:40-07:00,high,
7540,InlineEditBox: should not shift position when going into edit mode,,Dijit - LnF,2.0,new,1.1.1,2008-08-27T12:50:34-07:00,high,
7872,Tooltip: will not follow node,,Dijit,2.0,new,1.2.0,2008-10-15T11:33:32-07:00,high,
7971,Tree: fast cursor movement can break Drag and Drop,,Dijit,future,new,1.2.0,2008-10-27T08:07:20-07:00,high,elazutkin
8201,TextBox: doesn't remember login data (i.e Firefox Password-Store),,Dijit - Form,2.0,reopened,1.2.1,2008-12-01T01:20:40-08:00,high,
8398,Dijit Tooltip Conflicts with Advanced TinyMCE Editor,,Dijit,future,new,1.2.3,2009-01-12T09:07:19-08:00,high,floyd_ism@…
8408,"[dojox.layout] FloatingPane does not respect ContentPane._isShown, _onShow, _loadCheck...",,DojoX Layout,future,new,1.2.3,2009-01-13T19:20:45-08:00,high,
8424,"_Templated: bug with <ol>, <li> and <fieldset> (IE)",,Dijit,2.0,new,1.2.3,2009-01-15T08:41:43-08:00,high,
8545,Tree: presentation issue with showRoot=false when root's children are leaf nodes.,,Dijit,future,new,1.2.3,2009-02-01T12:35:41-08:00,high,
9024,Dialog: dragging to edge of viewport causes window to start scrolling,,Dijit,future,new,1.3.0rc2,2009-04-01T06:52:01-07:00,high,elazutkin
10462,IE8 (windows 7) hangs with 2 iFrames when returning to main window,,Dijit,tbd,new,1.3.2,2009-12-03T13:16:35-08:00,high,
10716,Menu: don't highlight first MenuItem on open via mouse click,,Dijit,future,new,1.4.0,2010-02-04T11:54:38-08:00,high,
10721,MenuBar: hovering MenuBarItem should make previously opened menu disappear immediately,,Dijit,future,new,1.4.0,2010-02-05T09:05:46-08:00,high,
10764,Tree in an AccordionPane not yet focused will call fetch() from its store and render itself,,Dijit,future,new,1.4.0,2010-02-17T15:20:15-08:00,high,
